symbol,timestamp,return_1,return_3,return_5,sma_fast,sma_slow,sma_cross,volatility,volume_ratio,high_low_range,label
BTC/USDT,1770483120000,-8.215724345782383e-05,-0.002913597143070901,-0.005920827550243615,69306.806,69114.56966666666,1.0,0.003186713234698098,0.7049096454373048,0.003323077083592763,0
BTC/USDT,1770483540000,-0.0003105422200480372,-0.004983096645016928,-0.005752024075170205,69270.73899999999,69107.10866666667,1.0,0.003186830357586614,0.5473675618685542,0.002919829706799306,1
BTC/USDT,1770483960000,-0.0034049942815229297,-0.003796331179181036,-0.006617253754444026,69257.175,69104.05099999999,1.0,0.003186810334285683,1.238739757048846,0.005267192227135066,1
BTC/USDT,1770484380000,0.002157028159180866,-0.0015654631839373426,-0.006232152100915553,69219.711,69097.113,1.0,0.003214816196703269,0.9617526866827261,0.005551935187510052,1
BTC/USDT,1770484800000,0.0025536898968509148,0.0012951734314776548,0.0009019909003970209,69159.74100000001,69093.656,1.0,0.003217427686878097,0.4400279276466809,0.0036550912940409466,1
BTC/USDT,1770485220000,-0.0013923743689038274,0.0033172853153363826,-0.00040951577874721444,69108.551,69095.58966666667,1.0,0.003219865008587284,0.423859670077488,0.002642067484129836,1
BTC/USDT,1770485640000,0.004717739486202218,0.005880961331082696,0.004618268105973828,69064.62299999999,69093.72566666667,0.0,0.0032051999929423283,0.4975138278704265,0.006174546031700125,0
BTC/USDT,1770486060000,-0.001204954873711246,0.0021098423843217496,0.006836019315801798,69056.572,69101.60566666667,0.0,0.003224046931017512,0.24361697643011465,0.0020265236523827014,1
BTC/USDT,1770486480000,-0.0017621567943945336,0.001738763094905351,0.0028985360005688195,69057.773,69110.18400000001,0.0,0.0032305232863680112,0.23638688924768816,0.002389435254785066,1
BTC/USDT,1770486900000,0.001062807371518504,-0.001905332188643079,0.0014071406597781016,69034.535,69112.091,0.0,0.0032298018631711513,0.23016884838056642,0.0021973748598631414,1
BTC/USDT,1770487320000,-0.0013103293243289069,-0.0020106327483507417,0.00148941571094362,69050.48,69118.90933333333,0.0,0.0032202861816854884,0.3197578110162938,0.002851794824211831,1
BTC/USDT,1770487740000,-0.0004655282551477494,-0.0007143269588528365,-0.0036771973364308147,69057.928,69134.65366666667,0.0,0.0032264517189104142,0.26443079379175866,0.0014965825810473402,1
BTC/USDT,1770488160000,0.006721732525327415,0.0049345522017478745,0.0042298697278132045,69064.30299999999,69143.11833333333,0.0,0.0032201597741866273,0.1272658785054518,0.007175307585623264,0
BTC/USDT,1770488580000,-0.002318067852898634,0.003920512208463966,0.0036706217553369304,69140.58200000001,69174.59833333333,0.0,0.003322970897877211,0.12129552143926417,0.002516810578823009,0
BTC/USDT,1770489000000,0.0018794973299892052,0.006275827961069242,0.004489439228490164,69185.917,69198.18699999999,0.0,0.003338754262120909,0.4340538454561415,0.005636837257498104,0
BTC/USDT,1770489420000,0.0007490933164469937,0.0003058341972982917,0.006560821715271936,69226.69200000001,69214.934,1.0,0.0033444304561296816,0.4398148702720605,0.002435139758441869,0
BTC/USDT,1770489840000,0.0011566662184578074,0.003789706814277284,0.008194419603580876,69282.29000000001,69232.80266666666,1.0,0.0033365983692189467,0.11041153153378855,0.003054161888104589,0
BTC/USDT,1770490260000,-0.002477717919664865,-0.0005758160151976679,-0.0010184882957999062,69313.388,69246.32566666666,1.0,0.003336961291457388,0.08210166701885258,0.003910345589301578,0
BTC/USDT,1770490680000,-0.0004606590145526666,-0.0017839667338021487,0.0008413400015717388,69335.58799999999,69254.22399999999,1.0,0.0033577647676501857,0.05612723496453104,0.0017305365066558425,0
BTC/USDT,1770491100000,-0.0008531665994352729,-0.003787896199290701,-0.0018884923147775194,69366.787,69251.136,1.0,0.0032048969146114153,0.04648403324060538,0.0031716104242685934,0
